ALGEBRA Sección A;11;11;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;; ;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;
ALGEBRA  Sección B;12;12;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;
ALGEBRA Sección C;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C2;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;
ALGEBRA  Sección D;14;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;14;;;;;;;;;;;;;;;;;;;
ALGEBRA Sección E;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;14;;;;;;;;;;;;;;;;;;
ALGEBRA Sección F;22;22;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;
ALGEBRA  Sección G;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
ALGEBRA LINEAL Sección A;;;;;;;;;;;;;S5;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;
ALGEBRA LINEAL SecciónB;;;;;;;;;;;;;;;;;;;;;;;;;12;;E2;;;;;;;;;;;;;;;;;;;;12;12;;;;;;;;;;;;;;;;;;
ALGEBRA LINEAL Sección C;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;11;;;;;;;;;;;;;13;13;;;;;;;;;;;;;;;;;;
CALCULO I  Sección A;;;C3;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;
CALCULO I  Sección B;;;;C3;;;;;;;;;;;;;;;;;;;12;12;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;
CALCULO I  Sección C;;;;;;;;;;;;;;;13;;;;;;;;13;13;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;
CALCULO I  Sección D;;;;;;;;;;;;;;;;;;;;;;;14;14;;;;;;;;;;;;;;;;;;;;;;14;;E2;;;;;;;;;;;;;;;;;;
CALCULO I  Sección E;;;;;;;;;;;;;;;;13;;;;;;;21;21;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;
CALCULO II Sección A;;;11;11;S2;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULO II Sección B;;;12;12;;;;;;;;;;21;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULO II Sección C;;;13;13;;;;;;;;;;;;;;;;;;;;;;13;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULO II Sección D;;;14;14;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;
CALCULO III Sección A;103;;21;21;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULO III Sección B;;;22;22;C4;;;;;;;;;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CALCULO III Sección C;;;23;23;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;;;;;;
ECUACIONES DIFERENCIALES Sección A;;;;;;;;;;;;E1;;;;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECUACIONES DIFERENCIALES Sección B;;;;;;;;;;;;;;;;;;;;;;;E2;;;;;;;;;;;;;;;;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;
GEOMETRIA PLANA Y DEL ESPACIO  Sección A;;;;;;;E2;;;;;;;;;;;;;;;;;;;;;;11;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INTRODUCCION A LA MATEMATICAS Sección A;;;C4;C4;11;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;
INTRODUCCION A LA MATEMATICAS Sección B;;;;;12;;;;;;;13;;;;;;;;;;;22;;;;12;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;
